Q0 = 1.000 GeV	 Q = 1.732 GeV
x	 x*(uv-dv)	 x*(u+-d+)	 xu+	 xd+	 xu	 xd	 xubar	 xdbar
1.191E-04	5.523E-04	8.611E-04	3.913E-04	-4.698E-04	3.985E-04	-3.082E-04	-7.176E-06	-1.616E-04
1.202E-04	5.567E-04	8.677E-04	3.948E-04	-4.730E-04	4.018E-04	-3.104E-04	-7.068E-06	-1.626E-04
1.213E-04	5.611E-04	8.744E-04	3.982E-04	-4.762E-04	4.052E-04	-3.126E-04	-6.957E-06	-1.636E-04
1.225E-04	5.655E-04	8.811E-04	4.017E-04	-4.794E-04	4.085E-04	-3.148E-04	-6.845E-06	-1.646E-04
1.236E-04	5.700E-04	8.879E-04	4.052E-04	-4.827E-04	4.119E-04	-3.170E-04	-6.731E-06	-1.657E-04
1.247E-04	5.745E-04	8.947E-04	4.088E-04	-4.860E-04	4.154E-04	-3.192E-04	-6.616E-06	-1.667E-04
1.259E-04	5.791E-04	9.016E-04	4.123E-04	-4.893E-04	4.188E-04	-3.215E-04	-6.499E-06	-1.678E-04
1.271E-04	5.837E-04	9.085E-04	4.159E-04	-4.926E-04	4.223E-04	-3.238E-04	-6.380E-06	-1.688E-04
1.282E-04	5.883E-04	9.155E-04	4.196E-04	-4.959E-04	4.258E-04	-3.261E-04	-6.259E-06	-1.699E-04
1.294E-04	5.929E-04	9.225E-04	4.232E-04	-4.993E-04	4.294E-04	-3.284E-04	-6.137E-06	-1.709E-04
1.306E-04	5.976E-04	9.296E-04	4.269E-04	-5.027E-04	4.329E-04	-3.307E-04	-6.012E-06	-1.720E-04
1.318E-04	6.024E-04	9.368E-04	4.307E-04	-5.061E-04	4.365E-04	-3.330E-04	-5.887E-06	-1.731E-04
1.330E-04	6.072E-04	9.440E-04	4.344E-04	-5.096E-04	4.402E-04	-3.354E-04	-5.759E-06	-1.742E-04
1.343E-04	6.120E-04	9.512E-04	4.382E-04	-5.130E-04	4.438E-04	-3.378E-04	-5.629E-06	-1.753E-04
1.355E-04	6.168E-04	9.586E-04	4.420E-04	-5.165E-04	4.475E-04	-3.402E-04	-5.498E-06	-1.764E-04
1.368E-04	6.217E-04	9.659E-04	4.459E-04	-5.200E-04	4.513E-04	-3.426E-04	-5.364E-06	-1.775E-04
1.380E-04	6.266E-04	9.734E-04	4.498E-04	-5.236E-04	4.550E-04	-3.450E-04	-5.229E-06	-1.786E-04
1.393E-04	6.316E-04	9.809E-04	4.537E-04	-5.272E-04	4.588E-04	-3.474E-04	-5.092E-06	-1.797E-04
1.406E-04	6.366E-04	9.884E-04	4.577E-04	-5.308E-04	4.626E-04	-3.499E-04	-4.953E-06	-1.809E-04
1.419E-04	6.417E-04	9.960E-04	4.616E-04	-5.344E-04	4.665E-04	-3.524E-04	-4.812E-06	-1.820E-04
1.432E-04	6.467E-04	1.004E-03	4.657E-04	-5.380E-04	4.703E-04	-3.549E-04	-4.669E-06	-1.831E-04
1.445E-04	6.519E-04	1.011E-03	4.697E-04	-5.417E-04	4.742E-04	-3.574E-04	-4.524E-06	-1.843E-04
1.459E-04	6.570E-04	1.019E-03	4.738E-04	-5.454E-04	4.782E-04	-3.599E-04	-4.377E-06	-1.855E-04
1.472E-04	6.622E-04	1.027E-03	4.779E-04	-5.491E-04	4.822E-04	-3.625E-04	-4.228E-06	-1.866E-04
1.486E-04	6.675E-04	1.035E-03	4.821E-04	-5.529E-04	4.862E-04	-3.651E-04	-4.077E-06	-1.878E-04
1.500E-04	6.728E-04	1.043E-03	4.863E-04	-5.566E-04	4.902E-04	-3.677E-04	-3.924E-06	-1.890E-04
1.514E-04	6.781E-04	1.051E-03	4.905E-04	-5.605E-04	4.943E-04	-3.703E-04	-3.769E-06	-1.902E-04
1.528E-04	6.835E-04	1.059E-03	4.948E-04	-5.643E-04	4.984E-04	-3.729E-04	-3.612E-06	-1.914E-04
1.542E-04	6.889E-04	1.067E-03	4.991E-04	-5.681E-04	5.025E-04	-3.756E-04	-3.453E-06	-1.926E-04
1.556E-04	6.944E-04	1.075E-03	5.034E-04	-5.720E-04	5.067E-04	-3.782E-04	-3.291E-06	-1.938E-04
1.570E-04	6.999E-04	1.084E-03	5.078E-04	-5.759E-04	5.109E-04	-3.809E-04	-3.128E-06	-1.950E-04
1.585E-04	7.055E-04	1.092E-03	5.122E-04	-5.799E-04	5.152E-04	-3.836E-04	-2.962E-06	-1.963E-04
1.600E-04	7.111E-04	1.100E-03	5.166E-04	-5.839E-04	5.194E-04	-3.864E-04	-2.794E-06	-1.975E-04
1.614E-04	7.167E-04	1.109E-03	5.211E-04	-5.879E-04	5.237E-04	-3.891E-04	-2.624E-06	-1.988E-04
1.629E-04	7.224E-04	1.118E-03	5.256E-04	-5.919E-04	5.281E-04	-3.919E-04	-2.451E-06	-2.000E-04
1.644E-04	7.281E-04	1.126E-03	5.302E-04	-5.960E-04	5.325E-04	-3.947E-04	-2.276E-06	-2.013E-04
1.660E-04	7.339E-04	1.135E-03	5.348E-04	-6.000E-04	5.369E-04	-3.975E-04	-2.099E-06	-2.026E-04
1.675E-04	7.397E-04	1.144E-03	5.394E-04	-6.042E-04	5.414E-04	-4.003E-04	-1.920E-06	-2.038E-04
1.690E-04	7.456E-04	1.152E-03	5.441E-04	-6.083E-04	5.458E-04	-4.032E-04	-1.738E-06	-2.051E-04
1.706E-04	7.515E-04	1.161E-03	5.488E-04	-6.125E-04	5.504E-04	-4.060E-04	-1.554E-06	-2.064E-04
1.722E-04	7.575E-04	1.170E-03	5.536E-04	-6.167E-04	5.549E-04	-4.089E-04	-1.367E-06	-2.077E-04
1.738E-04	7.635E-04	1.179E-03	5.584E-04	-6.209E-04	5.596E-04	-4.119E-04	-1.179E-06	-2.091E-04
1.754E-04	7.696E-04	1.188E-03	5.632E-04	-6.252E-04	5.642E-04	-4.148E-04	-9.873E-07	-2.104E-04
1.770E-04	7.757E-04	1.198E-03	5.681E-04	-6.295E-04	5.689E-04	-4.178E-04	-7.935E-07	-2.117E-04
1.786E-04	7.819E-04	1.207E-03	5.730E-04	-6.338E-04	5.736E-04	-4.207E-04	-5.973E-07	-2.131E-04
1.803E-04	7.881E-04	1.216E-03	5.780E-04	-6.382E-04	5.784E-04	-4.237E-04	-3.985E-07	-2.144E-04
1.820E-04	7.943E-04	1.226E-03	5.830E-04	-6.426E-04	5.832E-04	-4.268E-04	-1.972E-07	-2.158E-04
1.837E-04	8.007E-04	1.235E-03	5.880E-04	-6.470E-04	5.880E-04	-4.298E-04	6.582E-09	-2.172E-04
1.854E-04	8.070E-04	1.245E-03	5.931E-04	-6.514E-04	5.929E-04	-4.329E-04	2.130E-07	-2.185E-04
1.871E-04	8.134E-04	1.254E-03	5.982E-04	-6.559E-04	5.978E-04	-4.360E-04	4.220E-07	-2.199E-04
1.888E-04	8.199E-04	1.264E-03	6.034E-04	-6.604E-04	6.027E-04	-4.391E-04	6.336E-07	-2.213E-04
1.905E-04	8.264E-04	1.274E-03	6.086E-04	-6.650E-04	6.077E-04	-4.423E-04	8.479E-07	-2.227E-04
1.923E-04	8.330E-04	1.283E-03	6.138E-04	-6.696E-04	6.128E-04	-4.454E-04	1.065E-06	-2.241E-04
1.941E-04	8.396E-04	1.293E-03	6.192E-04	-6.742E-04	6.179E-04	-4.486E-04	1.285E-06	-2.256E-04
1.959E-04	8.463E-04	1.303E-03	6.245E-04	-6.788E-04	6.230E-04	-4.518E-04	1.507E-06	-2.270E-04
1.977E-04	8.530E-04	1.313E-03	6.299E-04	-6.835E-04	6.282E-04	-4.551E-04	1.732E-06	-2.285E-04
1.995E-04	8.598E-04	1.324E-03	6.353E-04	-6.882E-04	6.334E-04	-4.583E-04	1.960E-06	-2.299E-04
2.014E-04	8.666E-04	1.334E-03	6.408E-04	-6.930E-04	6.386E-04	-4.616E-04	2.191E-06	-2.314E-04
2.032E-04	8.735E-04	1.344E-03	6.463E-04	-6.978E-04	6.439E-04	-4.649E-04	2.424E-06	-2.329E-04
2.051E-04	8.805E-04	1.354E-03	6.519E-04	-7.026E-04	6.492E-04	-4.682E-04	2.661E-06	-2.343E-04
2.070E-04	8.875E-04	1.365E-03	6.575E-04	-7.074E-04	6.546E-04	-4.716E-04	2.900E-06	-2.358E-04
2.089E-04	8.946E-04	1.376E-03	6.632E-04	-7.123E-04	6.601E-04	-4.750E-04	3.143E-06	-2.373E-04
2.109E-04	9.017E-04	1.386E-03	6.689E-04	-7.173E-04	6.655E-04	-4.784E-04	3.388E-06	-2.389E-04
2.128E-04	9.089E-04	1.397E-03	6.747E-04	-7.222E-04	6.710E-04	-4.818E-04	3.636E-06	-2.404E-04
2.148E-04	9.161E-04	1.408E-03	6.805E-04	-7.272E-04	6.766E-04	-4.853E-04	3.887E-06	-2.419E-04
2.168E-04	9.234E-04	1.419E-03	6.863E-04	-7.323E-04	6.822E-04	-4.888E-04	4.141E-06	-2.435E-04
2.188E-04	9.307E-04	1.430E-03	6.923E-04	-7.373E-04	6.879E-04	-4.923E-04	4.399E-06	-2.450E-04
2.208E-04	9.381E-04	1.441E-03	6.982E-04	-7.424E-04	6.936E-04	-4.958E-04	4.659E-06	-2.466E-04
2.228E-04	9.456E-04	1.452E-03	7.042E-04	-7.476E-04	6.993E-04	-4.994E-04	4.923E-06	-2.482E-04
2.249E-04	9.531E-04	1.463E-03	7.103E-04	-7.528E-04	7.051E-04	-5.030E-04	5.189E-06	-2.498E-04
2.270E-04	9.607E-04	1.474E-03	7.164E-04	-7.580E-04	7.109E-04	-5.066E-04	5.459E-06	-2.514E-04
2.291E-04	9.684E-04	1.486E-03	7.226E-04	-7.632E-04	7.168E-04	-5.103E-04	5.732E-06	-2.530E-04
2.312E-04	9.761E-04	1.497E-03	7.288E-04	-7.685E-04	7.228E-04	-5.139E-04	6.008E-06	-2.546E-04
2.333E-04	9.839E-04	1.509E-03	7.350E-04	-7.739E-04	7.287E-04	-5.176E-04	6.288E-06	-2.562E-04
2.355E-04	9.917E-04	1.521E-03	7.413E-04	-7.792E-04	7.348E-04	-5.214E-04	6.571E-06	-2.579E-04
2.377E-04	9.996E-04	1.532E-03	7.477E-04	-7.846E-04	7.409E-04	-5.251E-04	6.857E-06	-2.595E-04
2.399E-04	1.008E-03	1.544E-03	7.541E-04	-7.901E-04	7.470E-04	-5.289E-04	7.147E-06	-2.612E-04
2.421E-04	1.016E-03	1.556E-03	7.606E-04	-7.956E-04	7.532E-04	-5.327E-04	7.440E-06	-2.629E-04
2.443E-04	1.024E-03	1.568E-03	7.672E-04	-8.011E-04	7.594E-04	-5.366E-04	7.736E-06	-2.646E-04
2.466E-04	1.032E-03	1.580E-03	7.737E-04	-8.067E-04	7.657E-04	-5.404E-04	8.036E-06	-2.663E-04
2.489E-04	1.040E-03	1.593E-03	7.804E-04	-8.123E-04	7.720E-04	-5.443E-04	8.339E-06	-2.680E-04
2.512E-04	1.048E-03	1.605E-03	7.871E-04	-8.179E-04	7.784E-04	-5.483E-04	8.646E-06	-2.697E-04
2.535E-04	1.057E-03	1.617E-03	7.938E-04	-8.236E-04	7.849E-04	-5.522E-04	8.957E-06	-2.714E-04
2.559E-04	1.065E-03	1.630E-03	8.006E-04	-8.294E-04	7.914E-04	-5.562E-04	9.271E-06	-2.732E-04
2.582E-04	1.074E-03	1.643E-03	8.075E-04	-8.351E-04	7.979E-04	-5.602E-04	9.588E-06	-2.749E-04
2.606E-04	1.082E-03	1.655E-03	8.144E-04	-8.410E-04	8.045E-04	-5.643E-04	9.910E-06	-2.767E-04
2.630E-04	1.091E-03	1.668E-03	8.214E-04	-8.468E-04	8.112E-04	-5.683E-04	1.023E-05	-2.785E-04
2.655E-04	1.100E-03	1.681E-03	8.285E-04	-8.527E-04	8.179E-04	-5.725E-04	1.056E-05	-2.803E-04
2.679E-04	1.108E-03	1.694E-03	8.356E-04	-8.587E-04	8.247E-04	-5.766E-04	1.090E-05	-2.821E-04
2.704E-04	1.117E-03	1.707E-03	8.427E-04	-8.647E-04	8.315E-04	-5.808E-04	1.123E-05	-2.839E-04
2.729E-04	1.126E-03	1.721E-03	8.500E-04	-8.707E-04	8.384E-04	-5.850E-04	1.157E-05	-2.857E-04
2.754E-04	1.135E-03	1.734E-03	8.572E-04	-8.768E-04	8.453E-04	-5.892E-04	1.192E-05	-2.876E-04
2.780E-04	1.144E-03	1.747E-03	8.646E-04	-8.829E-04	8.523E-04	-5.935E-04	1.226E-05	-2.894E-04
2.805E-04	1.153E-03	1.761E-03	8.720E-04	-8.891E-04	8.594E-04	-5.978E-04	1.262E-05	-2.913E-04
2.831E-04	1.162E-03	1.775E-03	8.794E-04	-8.953E-04	8.665E-04	-6.021E-04	1.297E-05	-2.932E-04
2.858E-04	1.172E-03	1.789E-03	8.870E-04	-9.015E-04	8.736E-04	-6.065E-04	1.333E-05	-2.951E-04
2.884E-04	1.181E-03	1.802E-03	8.946E-04	-9.078E-04	8.809E-04	-6.109E-04	1.370E-05	-2.970E-04
2.911E-04	1.190E-03	1.816E-03	9.022E-04	-9.142E-04	8.882E-04	-6.153E-04	1.406E-05	-2.989E-04
2.938E-04	1.200E-03	1.831E-03	9.099E-04	-9.206E-04	8.955E-04	-6.197E-04	1.444E-05	-3.008E-04
2.965E-04	1.210E-03	1.845E-03	9.177E-04	-9.270E-04	9.029E-04	-6.242E-04	1.481E-05	-3.028E-04
2.992E-04	1.219E-03	1.859E-03	9.256E-04	-9.335E-04	9.104E-04	-6.288E-04	1.519E-05	-3.047E-04
3.020E-04	1.229E-03	1.874E-03	9.335E-04	-9.400E-04	9.179E-04	-6.333E-04	1.558E-05	-3.067E-04
3.048E-04	1.239E-03	1.888E-03	9.415E-04	-9.466E-04	9.255E-04	-6.379E-04	1.597E-05	-3.087E-04
3.076E-04	1.249E-03	1.903E-03	9.495E-04	-9.533E-04	9.332E-04	-6.426E-04	1.636E-05	-3.107E-04
3.105E-04	1.259E-03	1.918E-03	9.576E-04	-9.599E-04	9.409E-04	-6.472E-04	1.676E-05	-3.127E-04
3.133E-04	1.269E-03	1.932E-03	9.658E-04	-9.667E-04	9.487E-04	-6.519E-04	1.716E-05	-3.147E-04
3.162E-04	1.279E-03	1.948E-03	9.741E-04	-9.735E-04	9.565E-04	-6.567E-04	1.757E-05	-3.168E-04
3.192E-04	1.289E-03	1.963E-03	9.824E-04	-9.803E-04	9.644E-04	-6.615E-04	1.798E-05	-3.188E-04
3.221E-04	1.299E-03	1.978E-03	9.908E-04	-9.872E-04	9.724E-04	-6.663E-04	1.840E-05	-3.209E-04
3.251E-04	1.310E-03	1.993E-03	9.992E-04	-9.941E-04	9.804E-04	-6.711E-04	1.882E-05	-3.230E-04
3.281E-04	1.320E-03	2.009E-03	1.008E-03	-1.001E-03	9.885E-04	-6.760E-04	1.924E-05	-3.251E-04
3.311E-04	1.331E-03	2.024E-03	1.016E-03	-1.008E-03	9.967E-04	-6.809E-04	1.967E-05	-3.272E-04
3.342E-04	1.341E-03	2.040E-03	1.025E-03	-1.015E-03	1.005E-03	-6.859E-04	2.011E-05	-3.293E-04
3.373E-04	1.352E-03	2.056E-03	1.034E-03	-1.022E-03	1.013E-03	-6.909E-04	2.055E-05	-3.315E-04
3.404E-04	1.363E-03	2.072E-03	1.043E-03	-1.030E-03	1.022E-03	-6.959E-04	2.099E-05	-3.336E-04
3.436E-04	1.374E-03	2.088E-03	1.052E-03	-1.037E-03	1.030E-03	-7.010E-04	2.144E-05	-3.358E-04
3.467E-04	1.385E-03	2.105E-03	1.060E-03	-1.044E-03	1.039E-03	-7.061E-04	2.189E-05	-3.380E-04
3.499E-04	1.396E-03	2.121E-03	1.070E-03	-1.051E-03	1.047E-03	-7.112E-04	2.235E-05	-3.402E-04
3.532E-04	1.407E-03	2.137E-03	1.079E-03	-1.059E-03	1.056E-03	-7.164E-04	2.281E-05	-3.424E-04
3.565E-04	1.418E-03	2.154E-03	1.088E-03	-1.066E-03	1.065E-03	-7.217E-04	2.328E-05	-3.446E-04
3.597E-04	1.430E-03	2.171E-03	1.097E-03	-1.074E-03	1.073E-03	-7.269E-04	2.376E-05	-3.469E-04
3.631E-04	1.441E-03	2.188E-03	1.106E-03	-1.081E-03	1.082E-03	-7.322E-04	2.424E-05	-3.491E-04
3.664E-04	1.453E-03	2.205E-03	1.116E-03	-1.089E-03	1.091E-03	-7.376E-04	2.472E-05	-3.514E-04
3.698E-04	1.464E-03	2.222E-03	1.125E-03	-1.097E-03	1.100E-03	-7.430E-04	2.521E-05	-3.537E-04
3.733E-04	1.476E-03	2.239E-03	1.135E-03	-1.104E-03	1.109E-03	-7.484E-04	2.570E-05	-3.560E-04
3.767E-04	1.488E-03	2.257E-03	1.145E-03	-1.112E-03	1.118E-03	-7.539E-04	2.620E-05	-3.584E-04
3.802E-04	1.500E-03	2.274E-03	1.154E-03	-1.120E-03	1.128E-03	-7.594E-04	2.671E-05	-3.607E-04
3.837E-04	1.512E-03	2.292E-03	1.164E-03	-1.128E-03	1.137E-03	-7.649E-04	2.722E-05	-3.631E-04
3.873E-04	1.524E-03	2.310E-03	1.174E-03	-1.136E-03	1.146E-03	-7.705E-04	2.774E-05	-3.654E-04
3.908E-04	1.536E-03	2.328E-03	1.184E-03	-1.144E-03	1.156E-03	-7.762E-04	2.826E-05	-3.678E-04
3.945E-04	1.548E-03	2.346E-03	1.194E-03	-1.152E-03	1.165E-03	-7.819E-04	2.879E-05	-3.702E-04
3.981E-04	1.561E-03	2.365E-03	1.204E-03	-1.160E-03	1.175E-03	-7.876E-04	2.932E-05	-3.727E-04
4.018E-04	1.573E-03	2.383E-03	1.215E-03	-1.168E-03	1.185E-03	-7.933E-04	2.986E-05	-3.751E-04
4.055E-04	1.586E-03	2.402E-03	1.225E-03	-1.177E-03	1.195E-03	-7.992E-04	3.040E-05	-3.776E-04
4.093E-04	1.598E-03	2.420E-03	1.235E-03	-1.185E-03	1.204E-03	-8.050E-04	3.095E-05	-3.800E-04
4.130E-04	1.611E-03	2.439E-03	1.246E-03	-1.193E-03	1.214E-03	-8.109E-04	3.151E-05	-3.825E-04
4.169E-04	1.624E-03	2.458E-03	1.257E-03	-1.202E-03	1.224E-03	-8.169E-04	3.207E-05	-3.850E-04
4.207E-04	1.637E-03	2.478E-03	1.267E-03	-1.210E-03	1.235E-03	-8.229E-04	3.264E-05	-3.876E-04
4.246E-04	1.650E-03	2.497E-03	1.278E-03	-1.219E-03	1.245E-03	-8.289E-04	3.321E-05	-3.901E-04
4.285E-04	1.664E-03	2.516E-03	1.289E-03	-1.228E-03	1.255E-03	-8.350E-04	3.379E-05	-3.927E-04
4.325E-04	1.677E-03	2.536E-03	1.300E-03	-1.236E-03	1.265E-03	-8.411E-04	3.438E-05	-3.952E-04
4.365E-04	1.690E-03	2.556E-03	1.311E-03	-1.245E-03	1.276E-03	-8.473E-04	3.497E-05	-3.978E-04
4.406E-04	1.704E-03	2.576E-03	1.322E-03	-1.254E-03	1.286E-03	-8.535E-04	3.557E-05	-4.005E-04
4.446E-04	1.718E-03	2.596E-03	1.333E-03	-1.263E-03	1.297E-03	-8.598E-04	3.617E-05	-4.031E-04
4.487E-04	1.731E-03	2.616E-03	1.345E-03	-1.272E-03	1.308E-03	-8.661E-04	3.678E-05	-4.057E-04
4.529E-04	1.745E-03	2.637E-03	1.356E-03	-1.281E-03	1.319E-03	-8.725E-04	3.740E-05	-4.084E-04
4.571E-04	1.759E-03	2.657E-03	1.367E-03	-1.290E-03	1.329E-03	-8.789E-04	3.802E-05	-4.111E-04
4.613E-04	1.773E-03	2.678E-03	1.379E-03	-1.299E-03	1.340E-03	-8.854E-04	3.865E-05	-4.138E-04
4.656E-04	1.788E-03	2.699E-03	1.391E-03	-1.308E-03	1.352E-03	-8.919E-04	3.929E-05	-4.165E-04
4.699E-04	1.802E-03	2.720E-03	1.403E-03	-1.318E-03	1.363E-03	-8.984E-04	3.993E-05	-4.193E-04
4.742E-04	1.816E-03	2.742E-03	1.415E-03	-1.327E-03	1.374E-03	-9.050E-04	4.058E-05	-4.221E-04
4.786E-04	1.831E-03	2.763E-03	1.427E-03	-1.337E-03	1.385E-03	-9.117E-04	4.124E-05	-4.248E-04
4.831E-04	1.846E-03	2.785E-03	1.439E-03	-1.346E-03	1.397E-03	-9.184E-04	4.190E-05	-4.276E-04
4.875E-04	1.860E-03	2.807E-03	1.451E-03	-1.356E-03	1.408E-03	-9.252E-04	4.257E-05	-4.305E-04
4.920E-04	1.875E-03	2.829E-03	1.463E-03	-1.365E-03	1.420E-03	-9.320E-04	4.325E-05	-4.333E-04
4.966E-04	1.890E-03	2.851E-03	1.476E-03	-1.375E-03	1.432E-03	-9.389E-04	4.393E-05	-4.362E-04
5.012E-04	1.906E-03	2.873E-03	1.488E-03	-1.385E-03	1.443E-03	-9.458E-04	4.463E-05	-4.391E-04
5.058E-04	1.921E-03	2.895E-03	1.501E-03	-1.395E-03	1.455E-03	-9.528E-04	4.532E-05	-4.420E-04
5.105E-04	1.936E-03	2.918E-03	1.513E-03	-1.405E-03	1.467E-03	-9.598E-04	4.603E-05	-4.449E-04
5.152E-04	1.952E-03	2.941E-03	1.526E-03	-1.415E-03	1.480E-03	-9.669E-04	4.674E-05	-4.478E-04
5.200E-04	1.968E-03	2.964E-03	1.539E-03	-1.425E-03	1.492E-03	-9.741E-04	4.746E-05	-4.508E-04
5.248E-04	1.983E-03	2.987E-03	1.552E-03	-1.435E-03	1.504E-03	-9.813E-04	4.819E-05	-4.538E-04
5.297E-04	1.999E-03	3.011E-03	1.565E-03	-1.445E-03	1.517E-03	-9.885E-04	4.893E-05	-4.568E-04
5.346E-04	2.015E-03	3.034E-03	1.579E-03	-1.456E-03	1.529E-03	-9.958E-04	4.967E-05	-4.598E-04
5.395E-04	2.032E-03	3.058E-03	1.592E-03	-1.466E-03	1.542E-03	-1.003E-03	5.042E-05	-4.629E-04
5.445E-04	2.048E-03	3.082E-03	1.606E-03	-1.477E-03	1.554E-03	-1.011E-03	5.118E-05	-4.660E-04
5.495E-04	2.064E-03	3.106E-03	1.619E-03	-1.487E-03	1.567E-03	-1.018E-03	5.194E-05	-4.691E-04
5.546E-04	2.081E-03	3.131E-03	1.633E-03	-1.498E-03	1.580E-03	-1.026E-03	5.272E-05	-4.722E-04
5.598E-04	2.098E-03	3.155E-03	1.647E-03	-1.509E-03	1.593E-03	-1.033E-03	5.350E-05	-4.753E-04
5.649E-04	2.115E-03	3.180E-03	1.661E-03	-1.519E-03	1.606E-03	-1.041E-03	5.429E-05	-4.785E-04
5.702E-04	2.132E-03	3.205E-03	1.675E-03	-1.530E-03	1.620E-03	-1.049E-03	5.508E-05	-4.816E-04
5.754E-04	2.149E-03	3.230E-03	1.689E-03	-1.541E-03	1.633E-03	-1.056E-03	5.589E-05	-4.849E-04
5.808E-04	2.166E-03	3.255E-03	1.703E-03	-1.552E-03	1.647E-03	-1.064E-03	5.670E-05	-4.881E-04
5.861E-04	2.183E-03	3.281E-03	1.718E-03	-1.563E-03	1.660E-03	-1.072E-03	5.752E-05	-4.913E-04
5.916E-04	2.201E-03	3.307E-03	1.732E-03	-1.575E-03	1.674E-03	-1.080E-03	5.835E-05	-4.946E-04
5.970E-04	2.219E-03	3.333E-03	1.747E-03	-1.586E-03	1.688E-03	-1.088E-03	5.919E-05	-4.979E-04
6.026E-04	2.236E-03	3.359E-03	1.762E-03	-1.597E-03	1.702E-03	-1.096E-03	6.004E-05	-5.012E-04
6.081E-04	2.254E-03	3.385E-03	1.777E-03	-1.609E-03	1.716E-03	-1.104E-03	6.089E-05	-5.046E-04
6.138E-04	2.273E-03	3.412E-03	1.792E-03	-1.620E-03	1.730E-03	-1.112E-03	6.176E-05	-5.079E-04
6.194E-04	2.291E-03	3.439E-03	1.807E-03	-1.632E-03	1.744E-03	-1.121E-03	6.263E-05	-5.113E-04
6.252E-04	2.309E-03	3.466E-03	1.822E-03	-1.644E-03	1.759E-03	-1.129E-03	6.351E-05	-5.147E-04
6.310E-04	2.328E-03	3.493E-03	1.837E-03	-1.656E-03	1.773E-03	-1.137E-03	6.440E-05	-5.182E-04
6.368E-04	2.347E-03	3.521E-03	1.853E-03	-1.667E-03	1.788E-03	-1.146E-03	6.530E-05	-5.216E-04
6.427E-04	2.366E-03	3.548E-03	1.869E-03	-1.679E-03	1.803E-03	-1.154E-03	6.621E-05	-5.251E-04
6.486E-04	2.385E-03	3.576E-03	1.885E-03	-1.692E-03	1.817E-03	-1.163E-03	6.713E-05	-5.286E-04
6.546E-04	2.404E-03	3.604E-03	1.900E-03	-1.704E-03	1.832E-03	-1.172E-03	6.805E-05	-5.322E-04
6.607E-04	2.423E-03	3.633E-03	1.917E-03	-1.716E-03	1.848E-03	-1.180E-03	6.899E-05	-5.357E-04
6.668E-04	2.443E-03	3.661E-03	1.933E-03	-1.728E-03	1.863E-03	-1.189E-03	6.994E-05	-5.393E-04
6.730E-04	2.462E-03	3.690E-03	1.949E-03	-1.741E-03	1.878E-03	-1.198E-03	7.089E-05	-5.429E-04
