Q0 = 1.000 GeV	 Q = 1.732 GeV
x	 x*(uv-dv)	 x*(u+-d+)	 xu+	 xd+	 xu	 xd	 xubar	 xdbar
1.159E-04	5.726E-04	8.920E-04	4.084E-04	-4.836E-04	4.144E-04	-3.179E-04	-6.009E-06	-1.657E-04
1.169E-04	5.771E-04	8.989E-04	4.120E-04	-4.869E-04	4.179E-04	-3.201E-04	-5.890E-06	-1.668E-04
1.180E-04	5.817E-04	9.058E-04	4.156E-04	-4.902E-04	4.213E-04	-3.224E-04	-5.768E-06	-1.678E-04
1.191E-04	5.863E-04	9.127E-04	4.192E-04	-4.935E-04	4.248E-04	-3.247E-04	-5.645E-06	-1.689E-04
1.202E-04	5.909E-04	9.198E-04	4.229E-04	-4.969E-04	4.284E-04	-3.270E-04	-5.521E-06	-1.699E-04
1.213E-04	5.956E-04	9.268E-04	4.266E-04	-5.003E-04	4.319E-04	-3.293E-04	-5.394E-06	-1.710E-04
1.225E-04	6.003E-04	9.340E-04	4.303E-04	-5.037E-04	4.355E-04	-3.316E-04	-5.266E-06	-1.721E-04
1.236E-04	6.051E-04	9.412E-04	4.340E-04	-5.071E-04	4.392E-04	-3.340E-04	-5.136E-06	-1.732E-04
1.247E-04	6.099E-04	9.484E-04	4.378E-04	-5.106E-04	4.428E-04	-3.363E-04	-5.004E-06	-1.743E-04
1.259E-04	6.147E-04	9.557E-04	4.416E-04	-5.141E-04	4.465E-04	-3.387E-04	-4.870E-06	-1.754E-04
1.271E-04	6.196E-04	9.631E-04	4.455E-04	-5.176E-04	4.502E-04	-3.411E-04	-4.734E-06	-1.765E-04
1.282E-04	6.245E-04	9.705E-04	4.494E-04	-5.211E-04	4.540E-04	-3.435E-04	-4.597E-06	-1.776E-04
1.294E-04	6.295E-04	9.779E-04	4.533E-04	-5.247E-04	4.577E-04	-3.460E-04	-4.457E-06	-1.787E-04
1.306E-04	6.345E-04	9.855E-04	4.572E-04	-5.283E-04	4.615E-04	-3.484E-04	-4.316E-06	-1.798E-04
1.318E-04	6.395E-04	9.931E-04	4.612E-04	-5.319E-04	4.654E-04	-3.509E-04	-4.173E-06	-1.810E-04
1.330E-04	6.446E-04	1.001E-03	4.652E-04	-5.355E-04	4.692E-04	-3.534E-04	-4.027E-06	-1.821E-04
1.343E-04	6.497E-04	1.008E-03	4.693E-04	-5.392E-04	4.731E-04	-3.559E-04	-3.880E-06	-1.832E-04
1.355E-04	6.548E-04	1.016E-03	4.733E-04	-5.428E-04	4.771E-04	-3.584E-04	-3.731E-06	-1.844E-04
1.368E-04	6.600E-04	1.024E-03	4.774E-04	-5.466E-04	4.810E-04	-3.610E-04	-3.579E-06	-1.856E-04
1.380E-04	6.653E-04	1.032E-03	4.816E-04	-5.503E-04	4.850E-04	-3.636E-04	-3.426E-06	-1.867E-04
1.393E-04	6.705E-04	1.040E-03	4.858E-04	-5.541E-04	4.891E-04	-3.661E-04	-3.271E-06	-1.879E-04
1.406E-04	6.759E-04	1.048E-03	4.900E-04	-5.579E-04	4.931E-04	-3.687E-04	-3.113E-06	-1.891E-04
1.419E-04	6.812E-04	1.056E-03	4.943E-04	-5.617E-04	4.972E-04	-3.714E-04	-2.953E-06	-1.903E-04
1.432E-04	6.866E-04	1.064E-03	4.985E-04	-5.655E-04	5.013E-04	-3.740E-04	-2.792E-06	-1.915E-04
1.445E-04	6.921E-04	1.072E-03	5.029E-04	-5.694E-04	5.055E-04	-3.767E-04	-2.628E-06	-1.927E-04
1.459E-04	6.976E-04	1.081E-03	5.072E-04	-5.733E-04	5.097E-04	-3.794E-04	-2.462E-06	-1.939E-04
1.472E-04	7.031E-04	1.089E-03	5.116E-04	-5.772E-04	5.139E-04	-3.821E-04	-2.293E-06	-1.952E-04
1.486E-04	7.087E-04	1.097E-03	5.161E-04	-5.812E-04	5.182E-04	-3.848E-04	-2.123E-06	-1.964E-04
1.500E-04	7.143E-04	1.106E-03	5.205E-04	-5.852E-04	5.225E-04	-3.875E-04	-1.950E-06	-1.977E-04
1.514E-04	7.200E-04	1.114E-03	5.251E-04	-5.892E-04	5.268E-04	-3.903E-04	-1.775E-06	-1.989E-04
1.528E-04	7.257E-04	1.123E-03	5.296E-04	-5.933E-04	5.312E-04	-3.931E-04	-1.598E-06	-2.002E-04
1.542E-04	7.315E-04	1.132E-03	5.342E-04	-5.973E-04	5.356E-04	-3.959E-04	-1.418E-06	-2.014E-04
1.556E-04	7.373E-04	1.140E-03	5.388E-04	-6.014E-04	5.401E-04	-3.987E-04	-1.237E-06	-2.027E-04
1.570E-04	7.431E-04	1.149E-03	5.435E-04	-6.056E-04	5.445E-04	-4.015E-04	-1.052E-06	-2.040E-04
1.585E-04	7.490E-04	1.158E-03	5.482E-04	-6.097E-04	5.491E-04	-4.044E-04	-8.657E-07	-2.053E-04
1.600E-04	7.550E-04	1.167E-03	5.529E-04	-6.139E-04	5.536E-04	-4.073E-04	-6.768E-07	-2.066E-04
1.614E-04	7.610E-04	1.176E-03	5.577E-04	-6.181E-04	5.582E-04	-4.102E-04	-4.854E-07	-2.079E-04
1.629E-04	7.670E-04	1.185E-03	5.625E-04	-6.224E-04	5.628E-04	-4.131E-04	-2.916E-07	-2.092E-04
1.644E-04	7.731E-04	1.194E-03	5.674E-04	-6.267E-04	5.675E-04	-4.161E-04	-9.528E-08	-2.106E-04
1.660E-04	7.793E-04	1.203E-03	5.723E-04	-6.310E-04	5.722E-04	-4.191E-04	1.035E-07	-2.119E-04
1.675E-04	7.855E-04	1.213E-03	5.773E-04	-6.353E-04	5.770E-04	-4.221E-04	3.048E-07	-2.133E-04
1.690E-04	7.917E-04	1.222E-03	5.823E-04	-6.397E-04	5.817E-04	-4.251E-04	5.086E-07	-2.146E-04
1.706E-04	7.980E-04	1.231E-03	5.873E-04	-6.441E-04	5.866E-04	-4.281E-04	7.149E-07	-2.160E-04
1.722E-04	8.043E-04	1.241E-03	5.924E-04	-6.486E-04	5.914E-04	-4.312E-04	9.239E-07	-2.174E-04
1.738E-04	8.107E-04	1.251E-03	5.975E-04	-6.530E-04	5.963E-04	-4.343E-04	1.135E-06	-2.188E-04
1.754E-04	8.172E-04	1.260E-03	6.026E-04	-6.575E-04	6.013E-04	-4.374E-04	1.350E-06	-2.201E-04
1.770E-04	8.237E-04	1.270E-03	6.078E-04	-6.621E-04	6.063E-04	-4.405E-04	1.566E-06	-2.216E-04
1.786E-04	8.302E-04	1.280E-03	6.131E-04	-6.666E-04	6.113E-04	-4.437E-04	1.786E-06	-2.230E-04
1.803E-04	8.368E-04	1.290E-03	6.184E-04	-6.713E-04	6.164E-04	-4.469E-04	2.008E-06	-2.244E-04
1.820E-04	8.435E-04	1.300E-03	6.237E-04	-6.759E-04	6.215E-04	-4.501E-04	2.233E-06	-2.258E-04
1.837E-04	8.502E-04	1.310E-03	6.291E-04	-6.806E-04	6.266E-04	-4.533E-04	2.461E-06	-2.273E-04
1.854E-04	8.570E-04	1.320E-03	6.345E-04	-6.853E-04	6.318E-04	-4.565E-04	2.692E-06	-2.287E-04
1.871E-04	8.638E-04	1.330E-03	6.400E-04	-6.900E-04	6.370E-04	-4.598E-04	2.925E-06	-2.302E-04
1.888E-04	8.706E-04	1.340E-03	6.455E-04	-6.948E-04	6.423E-04	-4.631E-04	3.161E-06	-2.316E-04
1.905E-04	8.776E-04	1.351E-03	6.510E-04	-6.996E-04	6.476E-04	-4.665E-04	3.400E-06	-2.331E-04
1.923E-04	8.846E-04	1.361E-03	6.567E-04	-7.044E-04	6.530E-04	-4.698E-04	3.642E-06	-2.346E-04
1.941E-04	8.916E-04	1.372E-03	6.623E-04	-7.093E-04	6.584E-04	-4.732E-04	3.887E-06	-2.361E-04
1.959E-04	8.987E-04	1.382E-03	6.680E-04	-7.142E-04	6.639E-04	-4.766E-04	4.135E-06	-2.376E-04
1.977E-04	9.058E-04	1.393E-03	6.738E-04	-7.192E-04	6.694E-04	-4.800E-04	4.386E-06	-2.392E-04
1.995E-04	9.130E-04	1.404E-03	6.796E-04	-7.241E-04	6.749E-04	-4.835E-04	4.639E-06	-2.407E-04
2.014E-04	9.203E-04	1.415E-03	6.854E-04	-7.292E-04	6.805E-04	-4.869E-04	4.896E-06	-2.422E-04
2.032E-04	9.276E-04	1.426E-03	6.913E-04	-7.342E-04	6.861E-04	-4.904E-04	5.156E-06	-2.438E-04
2.051E-04	9.350E-04	1.437E-03	6.972E-04	-7.393E-04	6.918E-04	-4.940E-04	5.419E-06	-2.453E-04
2.070E-04	9.425E-04	1.448E-03	7.032E-04	-7.444E-04	6.976E-04	-4.975E-04	5.685E-06	-2.469E-04
2.089E-04	9.500E-04	1.459E-03	7.093E-04	-7.496E-04	7.033E-04	-5.011E-04	5.955E-06	-2.485E-04
2.109E-04	9.575E-04	1.470E-03	7.154E-04	-7.548E-04	7.092E-04	-5.047E-04	6.227E-06	-2.501E-04
2.128E-04	9.652E-04	1.482E-03	7.215E-04	-7.600E-04	7.150E-04	-5.083E-04	6.503E-06	-2.517E-04
2.148E-04	9.729E-04	1.493E-03	7.277E-04	-7.653E-04	7.209E-04	-5.120E-04	6.782E-06	-2.533E-04
2.168E-04	9.806E-04	1.505E-03	7.340E-04	-7.706E-04	7.269E-04	-5.157E-04	7.064E-06	-2.549E-04
2.188E-04	9.884E-04	1.516E-03	7.403E-04	-7.760E-04	7.329E-04	-5.194E-04	7.350E-06	-2.566E-04
2.208E-04	9.963E-04	1.528E-03	7.466E-04	-7.814E-04	7.390E-04	-5.232E-04	7.638E-06	-2.582E-04
2.228E-04	1.004E-03	1.540E-03	7.530E-04	-7.868E-04	7.451E-04	-5.269E-04	7.931E-06	-2.599E-04
2.249E-04	1.012E-03	1.552E-03	7.595E-04	-7.923E-04	7.513E-04	-5.307E-04	8.226E-06	-2.616E-04
2.270E-04	1.020E-03	1.564E-03	7.660E-04	-7.978E-04	7.575E-04	-5.346E-04	8.525E-06	-2.632E-04
2.291E-04	1.028E-03	1.576E-03	7.726E-04	-8.034E-04	7.638E-04	-5.384E-04	8.828E-06	-2.649E-04
2.312E-04	1.037E-03	1.588E-03	7.792E-04	-8.090E-04	7.701E-04	-5.423E-04	9.134E-06	-2.666E-04
2.333E-04	1.045E-03	1.601E-03	7.859E-04	-8.146E-04	7.765E-04	-5.462E-04	9.444E-06	-2.684E-04
2.355E-04	1.053E-03	1.613E-03	7.926E-04	-8.203E-04	7.829E-04	-5.502E-04	9.757E-06	-2.701E-04
2.377E-04	1.062E-03	1.625E-03	7.994E-04	-8.260E-04	7.894E-04	-5.542E-04	1.007E-05	-2.718E-04
2.399E-04	1.070E-03	1.638E-03	8.063E-04	-8.318E-04	7.959E-04	-5.582E-04	1.039E-05	-2.736E-04
2.421E-04	1.079E-03	1.651E-03	8.132E-04	-8.376E-04	8.025E-04	-5.622E-04	1.072E-05	-2.754E-04
2.443E-04	1.087E-03	1.664E-03	8.202E-04	-8.434E-04	8.091E-04	-5.663E-04	1.105E-05	-2.771E-04
2.466E-04	1.096E-03	1.676E-03	8.272E-04	-8.493E-04	8.158E-04	-5.704E-04	1.138E-05	-2.789E-04
2.489E-04	1.105E-03	1.690E-03	8.343E-04	-8.552E-04	8.226E-04	-5.745E-04	1.171E-05	-2.807E-04
2.512E-04	1.113E-03	1.703E-03	8.414E-04	-8.612E-04	8.294E-04	-5.787E-04	1.205E-05	-2.825E-04
2.535E-04	1.122E-03	1.716E-03	8.486E-04	-8.672E-04	8.362E-04	-5.829E-04	1.239E-05	-2.844E-04
2.559E-04	1.131E-03	1.729E-03	8.559E-04	-8.733E-04	8.431E-04	-5.871E-04	1.274E-05	-2.862E-04
2.582E-04	1.140E-03	1.743E-03	8.632E-04	-8.794E-04	8.501E-04	-5.913E-04	1.309E-05	-2.881E-04
2.606E-04	1.149E-03	1.756E-03	8.706E-04	-8.855E-04	8.571E-04	-5.956E-04	1.345E-05	-2.899E-04
2.630E-04	1.159E-03	1.770E-03	8.780E-04	-8.917E-04	8.642E-04	-5.999E-04	1.381E-05	-2.918E-04
2.655E-04	1.168E-03	1.784E-03	8.856E-04	-8.980E-04	8.714E-04	-6.043E-04	1.417E-05	-2.937E-04
2.679E-04	1.177E-03	1.797E-03	8.931E-04	-9.043E-04	8.786E-04	-6.087E-04	1.454E-05	-2.956E-04
2.704E-04	1.187E-03	1.811E-03	9.008E-04	-9.106E-04	8.859E-04	-6.131E-04	1.491E-05	-2.975E-04
2.729E-04	1.196E-03	1.825E-03	9.085E-04	-9.170E-04	8.932E-04	-6.175E-04	1.528E-05	-2.994E-04
2.754E-04	1.206E-03	1.840E-03	9.162E-04	-9.234E-04	9.006E-04	-6.220E-04	1.566E-05	-3.014E-04
2.780E-04	1.215E-03	1.854E-03	9.241E-04	-9.299E-04	9.080E-04	-6.266E-04	1.604E-05	-3.033E-04
2.805E-04	1.225E-03	1.868E-03	9.320E-04	-9.364E-04	9.155E-04	-6.311E-04	1.643E-05	-3.053E-04
2.831E-04	1.235E-03	1.883E-03	9.399E-04	-9.430E-04	9.231E-04	-6.357E-04	1.682E-05	-3.073E-04
2.858E-04	1.245E-03	1.898E-03	9.479E-04	-9.496E-04	9.307E-04	-6.403E-04	1.722E-05	-3.093E-04
2.884E-04	1.254E-03	1.912E-03	9.560E-04	-9.562E-04	9.384E-04	-6.450E-04	1.762E-05	-3.113E-04
2.911E-04	1.265E-03	1.927E-03	9.642E-04	-9.630E-04	9.462E-04	-6.497E-04	1.803E-05	-3.133E-04
2.938E-04	1.275E-03	1.942E-03	9.724E-04	-9.697E-04	9.540E-04	-6.544E-04	1.844E-05	-3.153E-04
2.965E-04	1.285E-03	1.957E-03	9.807E-04	-9.765E-04	9.619E-04	-6.592E-04	1.885E-05	-3.174E-04
2.992E-04	1.295E-03	1.972E-03	9.891E-04	-9.834E-04	9.698E-04	-6.640E-04	1.927E-05	-3.195E-04
3.020E-04	1.305E-03	1.988E-03	9.975E-04	-9.903E-04	9.778E-04	-6.688E-04	1.969E-05	-3.215E-04
3.048E-04	1.316E-03	2.003E-03	1.006E-03	-9.973E-04	9.859E-04	-6.737E-04	2.012E-05	-3.236E-04
3.076E-04	1.326E-03	2.019E-03	1.015E-03	-1.004E-03	9.941E-04	-6.786E-04	2.055E-05	-3.257E-04
3.105E-04	1.337E-03	2.035E-03	1.023E-03	-1.011E-03	1.002E-03	-6.835E-04	2.099E-05	-3.279E-04
3.133E-04	1.348E-03	2.050E-03	1.032E-03	-1.018E-03	1.011E-03	-6.885E-04	2.143E-05	-3.300E-04
3.162E-04	1.358E-03	2.066E-03	1.041E-03	-1.026E-03	1.019E-03	-6.935E-04	2.188E-05	-3.321E-04
3.192E-04	1.369E-03	2.083E-03	1.050E-03	-1.033E-03	1.027E-03	-6.986E-04	2.233E-05	-3.343E-04
3.221E-04	1.380E-03	2.099E-03	1.059E-03	-1.040E-03	1.036E-03	-7.037E-04	2.279E-05	-3.365E-04
3.251E-04	1.391E-03	2.115E-03	1.068E-03	-1.047E-03	1.044E-03	-7.088E-04	2.325E-05	-3.387E-04
3.281E-04	1.402E-03	2.132E-03	1.077E-03	-1.055E-03	1.053E-03	-7.140E-04	2.371E-05	-3.409E-04
3.311E-04	1.414E-03	2.148E-03	1.086E-03	-1.062E-03	1.062E-03	-7.192E-04	2.419E-05	-3.431E-04
3.342E-04	1.425E-03	2.165E-03	1.095E-03	-1.070E-03	1.070E-03	-7.245E-04	2.466E-05	-3.454E-04
3.373E-04	1.436E-03	2.182E-03	1.104E-03	-1.077E-03	1.079E-03	-7.298E-04	2.514E-05	-3.476E-04
3.404E-04	1.448E-03	2.199E-03	1.114E-03	-1.085E-03	1.088E-03	-7.351E-04	2.563E-05	-3.499E-04
3.436E-04	1.459E-03	2.216E-03	1.123E-03	-1.093E-03	1.097E-03	-7.405E-04	2.612E-05	-3.522E-04
3.467E-04	1.471E-03	2.233E-03	1.133E-03	-1.100E-03	1.106E-03	-7.459E-04	2.662E-05	-3.545E-04
3.499E-04	1.483E-03	2.251E-03	1.143E-03	-1.108E-03	1.115E-03	-7.513E-04	2.712E-05	-3.568E-04
3.532E-04	1.495E-03	2.268E-03	1.152E-03	-1.116E-03	1.125E-03	-7.568E-04	2.763E-05	-3.591E-04
3.565E-04	1.507E-03	2.286E-03	1.162E-03	-1.124E-03	1.134E-03	-7.624E-04	2.814E-05	-3.615E-04
3.597E-04	1.519E-03	2.304E-03	1.172E-03	-1.132E-03	1.143E-03	-7.680E-04	2.866E-05	-3.639E-04
3.631E-04	1.531E-03	2.322E-03	1.182E-03	-1.140E-03	1.153E-03	-7.736E-04	2.919E-05	-3.663E-04
3.664E-04	1.543E-03	2.340E-03	1.192E-03	-1.148E-03	1.162E-03	-7.792E-04	2.972E-05	-3.687E-04
3.698E-04	1.556E-03	2.358E-03	1.202E-03	-1.156E-03	1.172E-03	-7.850E-04	3.025E-05	-3.711E-04
3.733E-04	1.568E-03	2.377E-03	1.212E-03	-1.164E-03	1.182E-03	-7.907E-04	3.079E-05	-3.735E-04
3.767E-04	1.581E-03	2.395E-03	1.223E-03	-1.172E-03	1.191E-03	-7.965E-04	3.134E-05	-3.760E-04
3.802E-04	1.593E-03	2.414E-03	1.233E-03	-1.181E-03	1.201E-03	-8.024E-04	3.189E-05	-3.784E-04
3.837E-04	1.606E-03	2.433E-03	1.244E-03	-1.189E-03	1.211E-03	-8.082E-04	3.245E-05	-3.809E-04
3.873E-04	1.619E-03	2.452E-03	1.254E-03	-1.198E-03	1.221E-03	-8.142E-04	3.302E-05	-3.834E-04
3.908E-04	1.632E-03	2.471E-03	1.265E-03	-1.206E-03	1.231E-03	-8.202E-04	3.359E-05	-3.859E-04
3.945E-04	1.645E-03	2.490E-03	1.276E-03	-1.215E-03	1.241E-03	-8.262E-04	3.416E-05	-3.885E-04
3.981E-04	1.658E-03	2.510E-03	1.286E-03	-1.223E-03	1.252E-03	-8.322E-04	3.475E-05	-3.910E-04
4.018E-04	1.671E-03	2.529E-03	1.297E-03	-1.232E-03	1.262E-03	-8.384E-04	3.534E-05	-3.936E-04
4.055E-04	1.685E-03	2.549E-03	1.308E-03	-1.241E-03	1.272E-03	-8.445E-04	3.593E-05	-3.962E-04
4.093E-04	1.698E-03	2.569E-03	1.319E-03	-1.250E-03	1.283E-03	-8.507E-04	3.653E-05	-3.988E-04
4.130E-04	1.712E-03	2.589E-03	1.331E-03	-1.258E-03	1.293E-03	-8.570E-04	3.714E-05	-4.014E-04
4.169E-04	1.726E-03	2.609E-03	1.342E-03	-1.267E-03	1.304E-03	-8.633E-04	3.775E-05	-4.041E-04
4.207E-04	1.739E-03	2.630E-03	1.353E-03	-1.276E-03	1.315E-03	-8.696E-04	3.837E-05	-4.068E-04
4.246E-04	1.753E-03	2.650E-03	1.365E-03	-1.285E-03	1.326E-03	-8.760E-04	3.900E-05	-4.094E-04
4.285E-04	1.767E-03	2.671E-03	1.376E-03	-1.295E-03	1.337E-03	-8.825E-04	3.963E-05	-4.121E-04
4.325E-04	1.782E-03	2.692E-03	1.388E-03	-1.304E-03	1.348E-03	-8.890E-04	4.027E-05	-4.149E-04
4.365E-04	1.796E-03	2.713E-03	1.400E-03	-1.313E-03	1.359E-03	-8.955E-04	4.092E-05	-4.176E-04
4.406E-04	1.810E-03	2.734E-03	1.412E-03	-1.323E-03	1.370E-03	-9.021E-04	4.157E-05	-4.204E-04
4.446E-04	1.825E-03	2.756E-03	1.424E-03	-1.332E-03	1.381E-03	-9.088E-04	4.223E-05	-4.232E-04
4.487E-04	1.839E-03	2.777E-03	1.436E-03	-1.341E-03	1.393E-03	-9.155E-04	4.289E-05	-4.260E-04
4.529E-04	1.854E-03	2.799E-03	1.448E-03	-1.351E-03	1.404E-03	-9.222E-04	4.357E-05	-4.288E-04
4.571E-04	1.869E-03	2.821E-03	1.460E-03	-1.361E-03	1.416E-03	-9.291E-04	4.425E-05	-4.316E-04
4.613E-04	1.884E-03	2.843E-03	1.473E-03	-1.370E-03	1.428E-03	-9.359E-04	4.493E-05	-4.345E-04
4.656E-04	1.899E-03	2.865E-03	1.485E-03	-1.380E-03	1.439E-03	-9.428E-04	4.563E-05	-4.373E-04
4.699E-04	1.914E-03	2.888E-03	1.498E-03	-1.390E-03	1.451E-03	-9.498E-04	4.633E-05	-4.402E-04
4.742E-04	1.930E-03	2.910E-03	1.510E-03	-1.400E-03	1.463E-03	-9.568E-04	4.704E-05	-4.432E-04
4.786E-04	1.945E-03	2.933E-03	1.523E-03	-1.410E-03	1.475E-03	-9.639E-04	4.775E-05	-4.461E-04
4.831E-04	1.961E-03	2.956E-03	1.536E-03	-1.420E-03	1.488E-03	-9.710E-04	4.848E-05	-4.491E-04
4.875E-04	1.977E-03	2.979E-03	1.549E-03	-1.430E-03	1.500E-03	-9.782E-04	4.921E-05	-4.520E-04
4.920E-04	1.993E-03	3.003E-03	1.562E-03	-1.440E-03	1.512E-03	-9.854E-04	4.994E-05	-4.550E-04
4.966E-04	2.009E-03	3.026E-03	1.575E-03	-1.451E-03	1.525E-03	-9.927E-04	5.069E-05	-4.581E-04
5.012E-04	2.025E-03	3.050E-03	1.589E-03	-1.461E-03	1.537E-03	-1.000E-03	5.144E-05	-4.611E-04
5.058E-04	2.041E-03	3.074E-03	1.602E-03	-1.472E-03	1.550E-03	-1.007E-03	5.220E-05	-4.642E-04
5.105E-04	2.057E-03	3.098E-03	1.616E-03	-1.482E-03	1.563E-03	-1.015E-03	5.297E-05	-4.673E-04
5.152E-04	2.074E-03	3.122E-03	1.629E-03	-1.493E-03	1.576E-03	-1.022E-03	5.375E-05	-4.704E-04
5.200E-04	2.091E-03	3.147E-03	1.643E-03	-1.503E-03	1.589E-03	-1.030E-03	5.453E-05	-4.735E-04
5.248E-04	2.107E-03	3.171E-03	1.657E-03	-1.514E-03	1.602E-03	-1.038E-03	5.532E-05	-4.767E-04
5.297E-04	2.124E-03	3.196E-03	1.671E-03	-1.525E-03	1.615E-03	-1.045E-03	5.612E-05	-4.798E-04
5.346E-04	2.141E-03	3.221E-03	1.685E-03	-1.536E-03	1.628E-03	-1.053E-03	5.693E-05	-4.830E-04
5.395E-04	2.159E-03	3.247E-03	1.700E-03	-1.547E-03	1.642E-03	-1.061E-03	5.775E-05	-4.863E-04
5.445E-04	2.176E-03	3.272E-03	1.714E-03	-1.558E-03	1.655E-03	-1.069E-03	5.857E-05	-4.895E-04
5.495E-04	2.194E-03	3.298E-03	1.728E-03	-1.569E-03	1.669E-03	-1.077E-03	5.940E-05	-4.928E-04
5.546E-04	2.211E-03	3.324E-03	1.743E-03	-1.581E-03	1.683E-03	-1.085E-03	6.024E-05	-4.961E-04
5.598E-04	2.229E-03	3.350E-03	1.758E-03	-1.592E-03	1.697E-03	-1.093E-03	6.109E-05	-4.994E-04
5.649E-04	2.247E-03	3.376E-03	1.773E-03	-1.604E-03	1.711E-03	-1.101E-03	6.195E-05	-5.027E-04
5.702E-04	2.265E-03	3.403E-03	1.788E-03	-1.615E-03	1.725E-03	-1.109E-03	6.282E-05	-5.061E-04
5.754E-04	2.283E-03	3.429E-03	1.803E-03	-1.627E-03	1.739E-03	-1.117E-03	6.369E-05	-5.095E-04
5.808E-04	2.302E-03	3.456E-03	1.818E-03	-1.638E-03	1.753E-03	-1.126E-03	6.458E-05	-5.129E-04
5.861E-04	2.320E-03	3.484E-03	1.833E-03	-1.650E-03	1.768E-03	-1.134E-03	6.547E-05	-5.163E-04
5.916E-04	2.339E-03	3.511E-03	1.849E-03	-1.662E-03	1.782E-03	-1.142E-03	6.637E-05	-5.198E-04
5.970E-04	2.358E-03	3.539E-03	1.864E-03	-1.674E-03	1.797E-03	-1.151E-03	6.728E-05	-5.232E-04
6.026E-04	2.377E-03	3.566E-03	1.880E-03	-1.686E-03	1.812E-03	-1.159E-03	6.820E-05	-5.267E-04
6.081E-04	2.396E-03	3.594E-03	1.896E-03	-1.698E-03	1.827E-03	-1.168E-03	6.913E-05	-5.303E-04
6.138E-04	2.415E-03	3.623E-03	1.912E-03	-1.711E-03	1.842E-03	-1.177E-03	7.007E-05	-5.338E-04
6.194E-04	2.434E-03	3.651E-03	1.928E-03	-1.723E-03	1.857E-03	-1.186E-03	7.101E-05	-5.374E-04
6.252E-04	2.454E-03	3.680E-03	1.945E-03	-1.735E-03	1.873E-03	-1.194E-03	7.197E-05	-5.410E-04
6.310E-04	2.474E-03	3.709E-03	1.961E-03	-1.748E-03	1.888E-03	-1.203E-03	7.294E-05	-5.447E-04
6.368E-04	2.494E-03	3.738E-03	1.978E-03	-1.761E-03	1.904E-03	-1.212E-03	7.391E-05	-5.483E-04
6.427E-04	2.514E-03	3.768E-03	1.994E-03	-1.773E-03	1.919E-03	-1.221E-03	7.490E-05	-5.520E-04
6.486E-04	2.534E-03	3.797E-03	2.011E-03	-1.786E-03	1.935E-03	-1.230E-03	7.589E-05	-5.557E-04
6.546E-04	2.554E-03	3.827E-03	2.028E-03	-1.799E-03	1.951E-03	-1.240E-03	7.690E-05	-5.595E-04
6.607E-04	2.575E-03	3.857E-03	2.045E-03	-1.812E-03	1.967E-03	-1.249E-03	7.791E-05	-5.632E-04
6.668E-04	2.596E-03	3.888E-03	2.063E-03	-1.825E-03	1.984E-03	-1.258E-03	7.894E-05	-5.670E-04
6.730E-04	2.617E-03	3.918E-03	2.080E-03	-1.838E-03	2.000E-03	-1.268E-03	7.997E-05	-5.708E-04
