pion new parametrization Q=3.16GeV
x	xf	dfmin	dfmax
3.053856E-03	2.786499E-02	1.530330E-03	1.732741E-03
3.274549E-03	2.915487E-02	1.569351E-03	1.773989E-03
3.511192E-03	3.050282E-02	1.608144E-03	1.815795E-03
3.764936E-03	3.191133E-02	1.647592E-03	1.856903E-03
4.037017E-03	3.338296E-02	1.686999E-03	1.897986E-03
4.328761E-03	3.492037E-02	1.726867E-03	1.938230E-03
4.641589E-03	3.652633E-02	1.766549E-03	1.978207E-03
4.977024E-03	3.820369E-02	1.805366E-03	2.018493E-03
5.336699E-03	3.995540E-02	1.844153E-03	2.057827E-03
5.722368E-03	4.178453E-02	1.881943E-03	2.097090E-03
6.135907E-03	4.369423E-02	1.919119E-03	2.135526E-03
6.579332E-03	4.568776E-02	1.955657E-03	2.172838E-03
7.054802E-03	4.776848E-02	1.991780E-03	2.208419E-03
7.564633E-03	4.993986E-02	2.026195E-03	2.243439E-03
8.111308E-03	5.220546E-02	2.060245E-03	2.275904E-03
8.697490E-03	5.456896E-02	2.092064E-03	2.307603E-03
9.326033E-03	5.703411E-02	2.122357E-03	2.337247E-03
1.000000E-02	5.960478E-02	2.151746E-03	2.363620E-03
1.072267E-02	6.228492E-02	2.177590E-03	2.389320E-03
1.149757E-02	6.507857E-02	2.202607E-03	2.410605E-03
1.232847E-02	6.798984E-02	2.224450E-03	2.429654E-03
1.321941E-02	7.102293E-02	2.244031E-03	2.444786E-03
1.417474E-02	7.418209E-02	2.261059E-03	2.455706E-03
1.519911E-02	7.747164E-02	2.274068E-03	2.463430E-03
1.629751E-02	8.089593E-02	2.283936E-03	2.466231E-03
1.747528E-02	8.445935E-02	2.287007E-03	2.467545E-03
1.873817E-02	8.816627E-02	2.287653E-03	2.461583E-03
2.009233E-02	9.202110E-02	2.281347E-03	2.452700E-03
2.154435E-02	9.602816E-02	2.272955E-03	2.434498E-03
2.310130E-02	1.001918E-01	2.257334E-03	2.411961E-03
2.477076E-02	1.045161E-01	2.239095E-03	2.378982E-03
2.656088E-02	1.090052E-01	2.213859E-03	2.339604E-03
2.848036E-02	1.136631E-01	2.177829E-03	2.297057E-03
3.053856E-02	1.184934E-01	2.136830E-03	2.243954E-03
3.274549E-02	1.234996E-01	2.088999E-03	2.181451E-03
3.511192E-02	1.286848E-01	2.034059E-03	2.108995E-03
3.764936E-02	1.340518E-01	1.968187E-03	2.029850E-03
4.037017E-02	1.396028E-01	1.897950E-03	1.936342E-03
4.328761E-02	1.453395E-01	1.814353E-03	1.837335E-03
4.641589E-02	1.512632E-01	1.721862E-03	1.727802E-03
4.977024E-02	1.573741E-01	1.618890E-03	1.609380E-03
5.336699E-02	1.636718E-01	1.505180E-03	1.482904E-03
5.722368E-02	1.701546E-01	1.383019E-03	1.347720E-03
6.135907E-02	1.768201E-01	1.253209E-03	1.206362E-03
6.579332E-02	1.836642E-01	1.119410E-03	1.061696E-03
7.054802E-02	1.906813E-01	9.889532E-04	9.189154E-04
7.564633E-02	1.978643E-01	8.567892E-04	8.038967E-04
8.111308E-02	2.052039E-01	7.529103E-04	7.274929E-04
8.697490E-02	2.126888E-01	7.081175E-04	7.151223E-04
9.326033E-02	2.203049E-01	7.759376E-04	7.573301E-04
1.000000E-01	2.280353E-01	9.418644E-04	8.665848E-04
1.010000E-01	2.291458E-01	9.714499E-04	8.876345E-04
1.099798E-01	2.387216E-01	1.257072E-03	1.122984E-03
1.189596E-01	2.476265E-01	1.583868E-03	1.387025E-03
1.279394E-01	2.559147E-01	1.902255E-03	1.681162E-03
1.369192E-01	2.636320E-01	2.230175E-03	1.972400E-03
1.458990E-01	2.708177E-01	2.549378E-03	2.266257E-03
1.548788E-01	2.775055E-01	2.870623E-03	2.548567E-03
1.638586E-01	2.837253E-01	3.168107E-03	2.837547E-03
1.728384E-01	2.895031E-01	3.472981E-03	3.105261E-03
1.818182E-01	2.948620E-01	3.757451E-03	3.373573E-03
1.907980E-01	2.998229E-01	4.040694E-03	3.625560E-03
1.997778E-01	3.044043E-01	4.304881E-03	3.875522E-03
2.087576E-01	3.086231E-01	4.552280E-03	4.121252E-03
2.177374E-01	3.124947E-01	4.788836E-03	4.357544E-03
2.267172E-01	3.160331E-01	5.026539E-03	4.573867E-03
2.356970E-01	3.192510E-01	5.249103E-03	4.784120E-03
2.446768E-01	3.221603E-01	5.460323E-03	4.985041E-03
2.536566E-01	3.247720E-01	5.658818E-03	5.177878E-03
2.626364E-01	3.270961E-01	5.848771E-03	5.359101E-03
2.716162E-01	3.291421E-01	6.029294E-03	5.529588E-03
2.805960E-01	3.309187E-01	6.203103E-03	5.687125E-03
2.895758E-01	3.324343E-01	6.361506E-03	5.839438E-03
2.985556E-01	3.336964E-01	6.512223E-03	5.980007E-03
3.075354E-01	3.347125E-01	6.640998E-03	6.121485E-03
3.165152E-01	3.354893E-01	6.783019E-03	6.233327E-03
3.254949E-01	3.360334E-01	6.898129E-03	6.350860E-03
3.344747E-01	3.363507E-01	7.006957E-03	6.456312E-03
3.434545E-01	3.364473E-01	7.117279E-03	6.543147E-03
3.524343E-01	3.363286E-01	7.220436E-03	6.619257E-03
3.614141E-01	3.359999E-01	7.298352E-03	6.700452E-03
3.703939E-01	3.354663E-01	7.375671E-03	6.765728E-03
3.793737E-01	3.347325E-01	7.439341E-03	6.826611E-03
3.883535E-01	3.338033E-01	7.497700E-03	6.876197E-03
3.973333E-01	3.326830E-01	7.542994E-03	6.921439E-03
4.063131E-01	3.313759E-01	7.571110E-03	6.966196E-03
4.152929E-01	3.298861E-01	7.604911E-03	6.991009E-03
4.242727E-01	3.282177E-01	7.639744E-03	7.000256E-03
4.332525E-01	3.263744E-01	7.658747E-03	7.008744E-03
4.422323E-01	3.243599E-01	7.667875E-03	7.011620E-03
4.512121E-01	3.221779E-01	7.657359E-03	7.017492E-03
4.601919E-01	3.198318E-01	7.642752E-03	7.013445E-03
4.691717E-01	3.173251E-01	7.611042E-03	7.010988E-03
4.781515E-01	3.146610E-01	7.579014E-03	6.995991E-03
4.871313E-01	3.118428E-01	7.529801E-03	6.983488E-03
4.961111E-01	3.088736E-01	7.497571E-03	6.943720E-03
5.050909E-01	3.057565E-01	7.463607E-03	6.893518E-03
5.140707E-01	3.024946E-01	7.411888E-03	6.847224E-03
5.230505E-01	2.990907E-01	7.357885E-03	6.791641E-03
5.320303E-01	2.955479E-01	7.293458E-03	6.734208E-03
5.410101E-01	2.918689E-01	7.220333E-03	6.673769E-03
5.499899E-01	2.880566E-01	7.135621E-03	6.613235E-03
5.589697E-01	2.841137E-01	7.064227E-03	6.531129E-03
5.679495E-01	2.800431E-01	6.976428E-03	6.453849E-03
5.769293E-01	2.758474E-01	6.877855E-03	6.376840E-03
5.859091E-01	2.715293E-01	6.775900E-03	6.294020E-03
5.948889E-01	2.670916E-01	6.677642E-03	6.199490E-03
6.038687E-01	2.625368E-01	6.563235E-03	6.111160E-03
6.128485E-01	2.578677E-01	6.463357E-03	6.002288E-03
6.218283E-01	2.530868E-01	6.348237E-03	5.899593E-03
6.308081E-01	2.481969E-01	6.246167E-03	5.778609E-03
6.397879E-01	2.432006E-01	6.125497E-03	5.667456E-03
6.487677E-01	2.381006E-01	5.980665E-03	5.571421E-03
6.577475E-01	2.328994E-01	5.856913E-03	5.451247E-03
6.667273E-01	2.275999E-01	5.701830E-03	5.353730E-03
6.757071E-01	2.222047E-01	5.573834E-03	5.227161E-03
6.846869E-01	2.167166E-01	5.428379E-03	5.111922E-03
6.936667E-01	2.111384E-01	5.288590E-03	4.987581E-03
7.026465E-01	2.054729E-01	5.136158E-03	4.871272E-03
7.116263E-01	1.997229E-01	5.002476E-03	4.734608E-03
7.206061E-01	1.938915E-01	4.840854E-03	4.621088E-03
7.295859E-01	1.879815E-01	4.690697E-03	4.494790E-03
7.385657E-01	1.819961E-01	4.553009E-03	4.354927E-03
7.475455E-01	1.759384E-01	4.411552E-03	4.217262E-03
7.565253E-01	1.698118E-01	4.265976E-03	4.082520E-03
7.655051E-01	1.636195E-01	4.101788E-03	3.964864E-03
7.744848E-01	1.573650E-01	3.949773E-03	3.835719E-03
7.834646E-01	1.510520E-01	3.809532E-03	3.695536E-03
7.924444E-01	1.446843E-01	3.663381E-03	3.561722E-03
8.014242E-01	1.382658E-01	3.511726E-03	3.434265E-03
8.104040E-01	1.318007E-01	3.360227E-03	3.308087E-03
8.193838E-01	1.252934E-01	3.218021E-03	3.174361E-03
8.283636E-01	1.187486E-01	3.077102E-03	3.041127E-03
8.373434E-01	1.121714E-01	2.936081E-03	2.909869E-03
8.463232E-01	1.055670E-01	2.786460E-03	2.789174E-03
8.553030E-01	9.894116E-02	2.638902E-03	2.668471E-03
8.642828E-01	9.230025E-02	2.500903E-03	2.539564E-03
8.732626E-01	8.565109E-02	2.374664E-03	2.399606E-03
8.822424E-01	7.900124E-02	2.238868E-03	2.270160E-03
8.912222E-01	7.235913E-02	2.109430E-03	2.133916E-03
9.002020E-01	6.573424E-02	1.971575E-03	2.004991E-03
9.091818E-01	5.913735E-02	1.842441E-03	1.864361E-03
9.181616E-01	5.258081E-02	1.708182E-03	1.724492E-03
9.271414E-01	4.607890E-02	1.564849E-03	1.587019E-03
9.361212E-01	3.964843E-02	1.414788E-03	1.446780E-03
9.451010E-01	3.331009E-02	1.260921E-03	1.297099E-03
9.540808E-01	2.709161E-02	1.101839E-03	1.134647E-03
9.630606E-01	2.103495E-02	9.342093E-04	9.573391E-04
9.720404E-01	1.521067E-02	7.450307E-04	7.730852E-04
9.810202E-01	9.742435E-03	5.429870E-04	5.700415E-04
9.900000E-01	4.842200E-03	3.295306E-04	3.520292E-04
